,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
241,AL,Hokes Bluff,46042.0,13.7,89.2,98.5,0.3,0.1,0.4,0.2
242,AL,Hollis Crossroads,34408.0,29.0,71.4,86.0,5.4,0.3,0.0,8.4
243,AL,Holly Pond,44750.0,19.0,90.4,98.5,0.3,0.4,0.0,1.4
244,AL,Hollywood,29306.0,20.3,71.3,75.8,14.8,1.7,0.3,4.9
245,AL,Holt,30446.0,46.4,75.0,39.4,55.2,0.4,0.2,7.2
246,AL,Holtville,52713.0,11.1,85.6,90.4,7.4,0.5,0.2,1.3
247,AL,Homewood,61626.0,12.7,93.5,74.6,17.3,0.2,2.2,7.3
248,AL,Hoover,77146.0,6.0,95.2,75.1,14.8,0.2,5.1,6.0
249,AL,Horn Hill,34464.0,10.2,66.3,91.7,1.3,3.9,0.0,3.1
250,AL,Hueytown,42172.0,14.3,86.5,70.0,27.2,0.3,0.5,2.0
251,AL,Huguley,42063.0,16.3,79.3,73.0,25.0,0.6,0.2,1.2
252,AL,Huntsville,48775.0,18.2,90.2,60.3,31.2,0.6,2.4,5.8
253,AL,Hurtsboro,19732.0,46.0,75.3,29.1,69.6,0.5,0.0,2.2
254,AL,Hytop,38542.0,14.7,70.6,91.5,0.3,4.5,0.0,3.4
255,AL,Ider,32692.0,15.4,80.5,93.2,0.6,4.0,0.0,0.1
256,AL,Indian Springs Village,96346.0,4.4,97.2,95.7,1.5,0.2,1.9,0.9
257,AL,Irondale,47351.0,20.5,87.4,56.3,35.4,0.3,1.4,7.8
258,AL,Ivalee,50737.0,0.0,77.0,96.1,1.6,0.5,0.0,1.4
259,AL,Jackson,31232.0,24.7,85.8,54.9,42.9,0.7,0.4,1.4
260,AL,Jacksons' Gap,36719.0,26.1,67.1,68.2,28.9,0.5,0.5,1.9
261,AL,Jacksonville,38903.0,31.2,89.0,68.7,26.8,0.5,1.3,2.3
262,AL,Jasper,39695.0,22.3,85.3,81.3,13.4,0.3,0.7,4.4
263,AL,Jemison,38500.0,24.9,77.8,77.8,17.7,0.1,0.1,7.0
264,AL,Joppa,23672.0,0.0,67.3,81.4,0.2,0.8,0.0,17.2
265,AL,Kansas,38542.0,25.3,66.4,100.0,0.0,0.0,0.0,0.0
266,AL,Kellyton,29688.0,29.8,71.3,68.2,19.8,0.0,0.0,11.5
267,AL,Kennedy,35054.0,10.9,82.6,83.4,14.3,0.0,0.2,0.9
268,AL,Killen,55313.0,17.7,87.1,94.0,3.2,0.3,0.5,2.4
269,AL,Kinsey,37109.0,16.2,75.9,49.9,46.0,0.3,0.1,4.0
270,AL,Kinston,23571.0,30.2,69.5,95.6,0.2,2.0,0.6,0.9
271,AL,Ladonia,32713.0,26.0,84.4,86.5,9.8,0.7,0.3,2.7
272,AL,La Fayette,25666.0,24.8,69.7,29.3,68.8,0.1,0.4,1.9
273,AL,Lakeview,46250.0,13.5,92.3,86.7,0.0,3.5,0.0,0.0
274,AL,Lake View,88594.0,2.2,95.7,93.9,4.2,0.1,0.7,0.6
275,AL,Lanett,25220.0,29.8,77.2,39.3,57.5,0.2,0.1,2.4
276,AL,Langston,31875.0,24.6,85.1,94.4,1.1,0.0,0.0,0.0
277,AL,Leeds,52689.0,15.4,87.2,78.7,14.3,0.4,0.6,6.6
278,AL,Leesburg,41397.0,18.0,80.5,96.5,1.1,0.0,0.0,1.3
279,AL,Leighton,22500.0,25.6,71.9,43.3,53.2,0.3,0.1,0.5
280,AL,Leroy,47365.0,6.7,99.3,78.6,20.1,0.2,0.0,0.2
281,AL,Level Plains,65769.0,11.1,91.3,75.3,12.4,0.5,1.5,11.0
282,AL,Lexington,35521.0,21.3,87.1,98.4,0.0,0.5,0.1,0.8
283,AL,Libertyville,44286.0,4.8,77.3,88.9,0.9,1.7,0.0,4.3
284,AL,Lincoln,55605.0,12.7,87.5,73.3,23.4,0.5,0.4,1.9
285,AL,Linden,29722.0,25.1,87.1,51.1,46.7,0.1,0.2,2.0
286,AL,Lineville,31472.0,12.9,77.8,58.6,36.9,0.3,0.2,4.6
287,AL,Lipscomb,26163.0,30.6,71.0,22.0,61.0,1.1,0.0,19.7
288,AL,Lisman,28750.0,44.9,67.2,6.7,92.2,0.0,0.0,0.2
289,AL,Littleville,49107.0,7.7,81.8,96.5,0.7,0.7,0.6,1.8
290,AL,Livingston,14426.0,55.2,86.0,34.6,63.9,0.1,0.3,0.7
291,AL,Loachapoka,34688.0,31.8,89.5,58.9,37.2,0.0,2.8,1.1
292,AL,Lockhart,36250.0,14.9,82.2,72.7,25.2,0.2,0.0,1.4
293,AL,Locust Fork,57143.0,14.2,81.9,97.0,0.6,0.8,0.0,2.4
294,AL,Lookout Mountain,51058.0,14.9,82.3,95.9,2.3,0.4,0.0,1.2
295,AL,Louisville,34286.0,11.8,65.7,49.3,44.1,0.8,0.0,7.9
296,AL,Lowndesboro,39375.0,3.4,90.2,76.5,20.9,0.0,0.0,0.9
297,AL,Loxley,48000.0,20.0,85.3,84.4,9.4,0.7,0.6,5.1
